Ecotype,Population,Genotype,Elevation,BB,BS,Ds,Ss,gsmax,SLA,LS,Ap,PHMD,PLuA,PLuF,PVD,PF,Kh,Kl,Al,As.Al,Ac,TH,LAI,SSD,SBP,SLuA,SHMD,SLuF,SVD,WP.md,WP.pd
SD,CAFAUG,CAF180,988,80,297,296333025.8,2.06E-10,0.822920161,122.6902292,1865.864389,1796300,27.1,66.2,0.0368,0.0006,1.599731462,0.00000084,0.000362113,6.132388855,0.000366873,2.048948125,271.6666667,2.992944907,0.45,0.237569061,737.2418785,37.2,0.192246005,0.00030655,-1.521,-0.414
SD,CAFAUG,CAF184,988,80,290,256723107.5,2.71E-10,0.878857472,123.2655974,1665.995667,1372864,26.1,92.6,0.0302,0.0003,1.587324616,0.000000841,0.000363511,5.081492902,0.00035809,2.746028125,334.1666667,1.850488295,0.44,0.23,644.9186559,43.4,0.196769387,0.000266899,-1.62,-0.446
SD,CAFAUG,CAF185,988,80,290,307135730.9,2.35E-10,0.896565316,140.551817,2559.295981,769699,24.7,79.4,0.0975,0.0009,1.469226882,0.00000127,0.000430322,6.146645931,0.000351719,2.41289375,273.3333333,2.54741674,0.44,0.115384615,627.1287156,41.2,0.265134466,0.000335579,-1.49,-0.426
SD,CAFAUG,CAF187,988,66,290,286801227.3,2.53E-10,0.895700655,110.7498745,1262.803083,703855,24.7,86.2,0.0716,0.0008,1.561641889,0.000000665,0.000383585,6.041085872,0.000358124,2.278364375,354.1666667,2.651501199,0.37,0.269503546,609.6703127,39.9,0.253927666,0.000393736,-1.506,-0.495
SD,CAFAUG,CAF189,988,66,290,182163261.1,3.21E-10,0.613342243,118.3396548,1965.856698,686002,19.2,89.4,0.0556,0.0005,1.976703649,0.000000302,0.000176926,6.001342944,0.00035461,1.70089875,353.3333333,3.528336383,0.44,0.243243243,773.6613125,36.8,0.198164263,0.000325035,-1.462,-0.458
SD,CAFAUG,CAF194,988,80,290,271338531.9,2.25E-10,0.79947545,136.5185586,1645.156839,1361481,21,81.66666667,0.054,0.0006,1.554481212,0.000000457,0.000159383,10.60031653,0.000352721,3.0603225,315,3.463790672,0.4,0.235494881,790.0795346,43.4,0.268416623,0.000346943,-1.773,-0.48
SD,CCRCOL,CCR149,72,66,303,233634973.2,2.61E-10,0.758123332,146.0582174,1500.051355,873045,26.5,154.3,0.0603,0.0004,1.737288711,0.000000869,0.000637,10.17776729,0.000364588,2.18544,365,4.657079256,0.37,0.283276451,1025.857217,46.5,0.241048714,0.000234973,-1.608,-0.502
SD,CCRCOL,CCR152,72,54,303,205675030.8,2.99E-10,0.693256412,139.5950129,2397.539056,543625,23,141.1,0.0786,0.0006,1.36300461,0.00000065,0.000305,5.269017168,0.000385869,2.51258875,372.5,2.097047186,0.41,0.265027322,962.9177522,48.1,0.279796677,0.00022301,-1.703,-0.358
SD,CCRCOL,CCR153,72,66,303,291037582.2,2.31E-10,0.883306145,119.2160959,2976.370977,1723186,19.8,52.8,0.094,0.0018,1.455661273,0.000000501,0.00014,8.450695604,0.000426745,2.552133125,333.3333333,3.311228369,0.39,0.367521368,716.5411295,39.8,0.246846939,0.000321162,-1.872,-0.438
SD,CCRCOL,CCR155,72,66,303,279599424,2.43E-10,0.872743867,107.6611362,1776.823796,829870,20,192.2,0.0388,0.0005,1.164515706,0.000000261,0.000154,8.380044233,0.000386315,2.53496125,334.1666667,3.305787902,0.43,0.32,926.383621,42.5,0.212818482,0.000221014,-1.628,-0.42
SD,CCRCOL,CCR157,72,44,297,324716603.8,2.18E-10,0.959959914,100.6548801,1167.777476,625035,14.6,34.7,0.0374,0.0011,1.13262537,8.56E-08,0.0000754,5.544983284,0.000389882,1.827774375,320,3.033735104,0.41,0.342592593,1254.639147,39,0.242570508,0.00033853,-1.477,-0.484
SD,CCRCOL,CCR161,72,44,290,223255903.7,2.41E-10,0.714945935,105.3555528,1653.661806,763770,18.7,73.7,0.058,0.0008,1.160714676,0.000000477,0.00035,6.958277057,0.000387633,2.46588125,319.1666667,2.821821634,0.4,0.32,768.6051794,42.6,0.210260554,0.000226969,-1.573,-0.501
SD,LBWBIL,LBW140,161,54,297,212665016.4,2.57E-10,0.685578074,118.7237497,1409.606151,747572,22.6,139.5,0.0518,0.0006,1.320815397,0.000000496,0.000327369,4.213075652,0.000352526,1.4942475,349.1666667,2.819529999,0.43,0.297297297,579.9054168,41,0.199067912,0.000213974,-1.476,-0.422
SD,LBWBIL,LBW141,161,54,297,303958464.7,2.29E-10,0.863429732,111.3274011,1552.106615,647305,24.7,105.7,0.0649,0.0006,1.357543288,0.000000602,0.000307034,9.923130604,0.000349341,2.108608125,386.6666667,4.706009849,0.43,0.303643725,472.3133898,37.6,0.196128334,0.000338207,-1.364,-0.436
